Grootheid.code;Grootheid.omschrijving;Parameter.code;Parameter.omschrijving;CAS-nummer;Eenheid.code;Hoedanigheid.code;Compartiment.code;Waardebewerkingmethode.code;Begindatum;Einddatum;Factor-A;Factor-B;Factor-C;Humuspercentage-laag;Humuspercentage-hoog;Voldoet;Voldoet niet;Bijzondere Omstandigheid
CONCTTE;(massa)Concentratie;C2yazfs;ethylazinfos;2642-71-9;ug/l;NVT;OW;JGM;2000-01-01;;;;;;;<=0.0011;>0.0011;
CONCTTE;(massa)Concentratie;C1yazfs;methylazinfos;86-50-0;ug/l;NVT;OW;JGM;2000-01-01;;;;;;;<=0.0065;>0.0065;
CONCTTE;(massa)Concentratie;ClHAc;chloorazijnzuur;79-11-8;ug/l;NVT;OW;JGM;2000-01-01;;;;;;;<=0.58;>0.58;
CONCTTE;(massa)Concentratie;2ClAn;2-chlooraniline;95-51-2;ug/l;NVT;OW;JGM;2000-01-01;;;;;;;<=0.2;>0.2;
CONCTTE;(massa)Concentratie;3ClAn;3-chlooraniline;108-42-9;ug/l;NVT;OW;JGM;2000-01-01;;;;;;;<=0.41;>0.41;
CONCTTE;(massa)Concentratie;4ClAn;4-chlooraniline;106-47-8;ug/l;NVT;OW;JGM;2000-01-01;;;;;;;<=0.22;>0.22;
CONCTTE;(massa)Concentratie;4Cl3C1yFol;4-chloor-3-methylfenol;59-50-7;ug/l;NVT;OW;JGM;2000-01-01;;;;;;;<=6.4;>6.4;
CONCTTE;(massa)Concentratie;2ClFol;2-chloorfenol;95-57-8;ug/l;NVT;OW;JGM;2000-01-01;;;;;;;<=35;>35;
CONCTTE;(massa)Concentratie;3ClFol;3-chloorfenol;108-43-0;ug/l;NVT;OW;JGM;2000-01-01;;;;;;;<=4;>4;
CONCTTE;(massa)Concentratie;4ClFol;4-chloorfenol;106-48-9;ug/l;NVT;OW;JGM;2000-01-01;;;;;;;<=16;>16;
CONCTTE;(massa)Concentratie;Clpn;chloropreen;126-99-8;ug/l;NVT;OW;JGM;2000-01-01;;;;;;;<=19;>19;
CONCTTE;(massa)Concentratie;3ClC3e;3-chloorpropeen;107-05-1;ug/l;NVT;OW;JGM;2000-01-01;;;;;;;<=0.34;>0.34;
CONCTTE;(massa)Concentratie;cumfs;cumafos;56-72-4;ug/l;NVT;OW;JGM;2000-01-01;;;;;;;<=0.0034;>0.0034;
CONCTTE;(massa)Concentratie;12DBrC2a;1,2-dibroomethaan;106-93-4;ug/l;NVT;OW;JGM;2000-01-01;;;;;;;<=0.0033;>0.0033;
CONCTTE;(massa)Concentratie;DC4ySn;dibutyltin (kation);14488-53-0;ug/l;NVT;OW;JGM;2000-01-01;;;;;;;<=0.09;>0.09;
CONCTTE;(massa)Concentratie;33DClbzdne;3,3'-dichloorbenzidine;91-94-1;ug/l;NVT;OW;JGM;2000-01-01;;;;;;;<=0.0000052;>0.0000052;
CONCTTE;(massa)Concentratie;11DClC2e;1,1-dichlooretheen;75-35-4;ug/l;NVT;OW;JGM;2000-01-01;;;;;;;<=9;>9;
CONCTTE;(massa)Concentratie;12DClC2e;1,2-dichlooretheen;540-59-0;ug/l;NVT;OW;JGM;2000-01-01;;;;;;;<=6.8;>6.8;
CONCTTE;(massa)Concentratie;24DClFol;2,4-dichloorfenol;120-83-2;ug/l;NVT;OW;JGM;2000-01-01;;;;;;;<=0.54;>0.54;
CONCTTE;(massa)Concentratie;12DClC3a;1,2-dichloorpropaan;78-87-5;ug/l;NVT;OW;JGM;2000-01-01;;;;;;;<=280;>280;
CONCTTE;(massa)Concentratie;13DClC3e;1,3-dichloorpropeen;542-75-6;ug/l;NVT;OW;JGM;2000-01-01;;;;;;;<=0.18;>0.18;
CONCTTE;(massa)Concentratie;DClppP;dichloorprop-P;15165-67-0;ug/l;NVT;OW;JGM;2000-01-01;;;;;;;<=1.0;>1.0;
CONCTTE;(massa)Concentratie;DClvs;dichloorvos;62-73-7;ug/l;NVT;OW;JGM;2000-01-01;;;;;;;<=0.0006;>0.0006;
CONCTTE;(massa)Concentratie;Dmtat;dimethoaat;60-51-5;ug/l;NVT;OW;JGM;2000-01-01;;;;;;;<=0.07;>0.07;
CONCTTE;(massa)Concentratie;epClhdne;epichloorhydrine;106-89-8;ug/l;NVT;OW;JGM;2000-01-01;;;;;;;<=0.65;>0.65;
CONCTTE;(massa)Concentratie;HxClC2a;hexachloorethaan;67-72-1;ug/l;NVT;OW;JGM;2000-01-01;;;;;;;<=0.67;>0.67;
CONCTTE;(massa)Concentratie;MCPA;2-methyl-4-chloorfenoxyazijnzuur;94-74-6;ug/l;NVT;OW;JGM;2000-01-01;;;;;;;<=1.4;>1.4;
CONCTTE;(massa)Concentratie;MCPP;mecoprop;93-65-2;ug/l;NVT;OW;JGM;2000-01-01;;;;;;;<=18;>18;
CONCTTE;(massa)Concentratie;mevfs;mevinfos;7786-34-7;ug/l;NVT;OW;JGM;2000-01-01;;;;;;;<=0.00017;>0.00017;
CONCTTE;(massa)Concentratie;Mlnrn;monolinuron;1746-81-2;ug/l;NVT;OW;JGM;2000-01-01;;;;;;;<=0.15;>0.15;
CONCTTE;(massa)Concentratie;Clidzn;chloridazon;1698-60-8;ug/l;NVT;OW;JGM;2000-01-01;;;;;;;<=27;>27;
CONCTTE;(massa)Concentratie;1122T4ClC2a;1,1,2,2-tetrachloorethaan;79-34-5;ug/l;NVT;OW;JGM;2000-01-01;;;;;;;<=8.0;>8.0;
CONCTTE;(massa)Concentratie;Tol;tolueen;108-88-3;ug/l;NVT;OW;JGM;2000-01-01;;;;;;;<=74;>74;
CONCTTE;(massa)Concentratie;Tazfs;triazofos;24017-47-8;ug/l;NVT;OW;JGM;2000-01-01;;;;;;;<=0.001;>0.001;
CONCTTE;(massa)Concentratie;111TClC2a;1,1,1-trichloorethaan;71-55-6;ug/l;NVT;OW;JGM;2000-01-01;;;;;;;<=21;>21;
CONCTTE;(massa)Concentratie;112TClC2a;1,1,2-trichloorethaan;79-00-5;ug/l;NVT;OW;JGM;2000-01-01;;;;;;;<=22;>22;
CONCTTE;(massa)Concentratie;245TClFol;2,4,5-trichloorfenol;95-95-4;ug/l;NVT;OW;JGM;2000-01-01;;;;;;;<=0.13;>0.13;
CONCTTE;(massa)Concentratie;246TClFol;2,4,6-trichloorfenol;88-06-2;ug/l;NVT;OW;JGM;2000-01-01;;;;;;;<=0.26;>0.26;
CONCTTE;(massa)Concentratie;ClC2e;chlooretheen (vinylchloride);75-01-4;ug/l;NVT;OW;JGM;2000-01-01;;;;;;;<=0.09;>0.09;
CONCTTE;(massa)Concentratie;sxyln;som xyleen-isomeren;NVT;ug/l;NVT;OW;JGM;2000-01-01;;;;;;;<=2.44;>2.44;
CONCTTE;(massa)Concentratie;bentzn;bentazon;25057-89-0;ug/l;NVT;OW;JGM;2000-01-01;;;;;;;<=73;>73;
CONCTTE;(massa)Concentratie;NH4;ammonium;14798-03-9;mg/l;N;OW;JGM;2000-01-01;;;;;;;<=1;>1;NH4-pH-T
CONCTTE;(massa)Concentratie;NH4;ammonium;14798-03-9;mg/l;Nnf;OW;JGM;2000-01-01;;;;;;;<=1;>1;NH4-pH-T
CONCTTE;(massa)Concentratie;Ba;barium;7440-39-3;ug/l;nf;OW;JGM;2000-01-01;;;;;;;<=9.3;>9.3;
CONCTTE;(massa)Concentratie;Be;beryllium;7440-41-7;ug/l;nf;OW;JGM;2000-01-01;;;;;;;<=0.0092;>0.0092;
CONCTTE;(massa)Concentratie;captn;captan;133-06-2;ug/l;NVT;OW;JGM;2000-01-01;;;;;;;<=0.34;>0.34;
CONCTTE;(massa)Concentratie;carbdzm;carbendazim;10605-21-7;ug/l;NVT;OW;JGM;2000-01-01;;;;;;;<=0.6;>0.6;
CONCTTE;(massa)Concentratie;Cltlrn;chloortoluron;15545-48-9;ug/l;NVT;OW;JGM;2000-01-01;;;;;;;<=0.4;>0.4;
CONCTTE;(massa)Concentratie;Cr;chroom;7440-47-3;ug/l;nf;OW;JGM;2000-01-01;;;;;;;<=3.4;>3.4;
CONCTTE;(massa)Concentratie;dmtn;deltamethrin;52918-63-5;ug/l;NVT;OW;JGM;2000-01-01;;;;;;;<=0.0000031;>0.0000031;
CONCTTE;(massa)Concentratie;DmtnmdP;dimethenamid-P;163515-14-8;ug/l;NVT;OW;JGM;2000-01-01;;;;;;;<=0.13;>0.13;
CONCTTE;(massa)Concentratie;Dtann;dithianon;3347-22-6;ug/l;NVT;OW;JGM;2000-01-01;;;;;;;<=0.097;>0.097;
CONCTTE;(massa)Concentratie;dodne;dodine;2439-10-3;ug/l;NVT;OW;JGM;2000-01-01;;;;;;;<=0.44;>0.44;
CONCTTE;(massa)Concentratie;esfvlrt;esfenvaleraat;66230-04-4;ug/l;NVT;OW;JGM;2000-01-01;;;;;;;<=0.0001;>0.0001;
CONCTTE;(massa)Concentratie;fenamfs;fenamifos;22224-92-6;ug/l;NVT;OW;JGM;2000-01-01;;;;;;;<=0.012;>0.012;
CONCTTE;(massa)Concentratie;fenOxcb;fenoxycarb;72490-01-8;ug/l;NVT;OW;JGM;2000-01-01;;;;;;;<=0.0003;>0.0003;
CONCTTE;(massa)Concentratie;heptnfs;heptenofos;23560-59-0;ug/l;NVT;OW;JGM;2000-01-01;;;;;;;<=0.002;>0.002;
CONCTTE;(massa)Concentratie;imdcpd;imidacloprid;138261-41-3;ug/l;NVT;OW;JGM;2000-01-01;;;;;;;<=0.067;>0.067;
CONCTTE;(massa)Concentratie;lcyhltn;lambda-cyhalothrin;91465-08-6;ug/l;NVT;OW;JGM;2000-01-01;;;;;;;<=0.00002;>0.00002;
CONCTTE;(massa)Concentratie;C1ymsfrn;methyl-metsulfuron;74223-64-6;ug/l;NVT;OW;JGM;2000-01-01;;;;;;;<=0.01;>0.01;
CONCTTE;(massa)Concentratie;C1yprmfs;methylpirimifos;29232-93-7;ug/l;NVT;OW;JGM;2000-01-01;;;;;;;<=0.0005;>0.0005;
CONCTTE;(massa)Concentratie;Co;kobalt;7440-48-4;ug/l;nf;OW;JGM;2000-01-01;;;;;;;<=0.089;>0.089;
CONCTTE;(massa)Concentratie;Mo;molybdeen;7439-98-7;ug/l;nf;OW;JGM;2000-01-01;;;;;;;<=136;>136;
CONCTTE;(massa)Concentratie;pyrdbn;pyridaben;96489-71-3;ug/l;NVT;OW;JGM;2000-01-01;;;;;;;<=0.0017;>0.0017;
CONCTTE;(massa)Concentratie;pyrpxfn;pyriproxyfen;95737-68-1;ug/l;NVT;OW;JGM;2000-01-01;;;;;;;<=0.00003;>0.00003;
CONCTTE;(massa)Concentratie;Se;seleen;7782-49-2;ug/l;nf;OW;JGM;2000-01-01;;;;;;;<=0.052;>0.052;
CONCTTE;(massa)Concentratie;Tl;thallium;7440-28-0;ug/l;nf;OW;JGM;2000-01-01;;;;;;;<=0.013;>0.013;
CONCTTE;(massa)Concentratie;Sn;tin;7440-31-5;ug/l;nf;OW;JGM;2000-01-01;;;;;;;<=0.6;>0.6;
CONCTTE;(massa)Concentratie;tolcfsC1y;tolclofos-methyl;57018-04-9;ug/l;NVT;OW;JGM;2000-01-01;;;;;;;<=1.2;>1.2;
CONCTTE;(massa)Concentratie;tefbzrn;teflubenzuron;83121-18-0;ug/l;NVT;OW;JGM;2000-01-01;;;;;;;<=0.0012;>0.0012;
CONCTTE;(massa)Concentratie;Zn;zink;7440-66-6;ug/l;nf;OW;JGM;2000-01-01;;;;;;;<=7.8;>7.8;
CONCTTE;(massa)Concentratie;abmtne;abamectine;71751-41-2;ug/l;NVT;OW;JGM;2000-01-01;;;;;;;<=0.001;>0.001;
CONCTTE;(massa)Concentratie;C2yazfs;ethylazinfos;2642-71-9;ug/l;NVT;OW;MAX;2000-01-01;;;;;;;<=0.011;>0.011;
CONCTTE;(massa)Concentratie;C1yazfs;methylazinfos;86-50-0;ug/l;NVT;OW;MAX;2000-01-01;;;;;;;<=0.014;>0.014;
CONCTTE;(massa)Concentratie;ClHAc;chloorazijnzuur;79-11-8;ug/l;NVT;OW;MAX;2000-01-01;;;;;;;<=0.58;>0.58;
CONCTTE;(massa)Concentratie;2ClAn;2-chlooraniline;95-51-2;ug/l;NVT;OW;MAX;2000-01-01;;;;;;;<=10;>10;
CONCTTE;(massa)Concentratie;3ClAn;3-chlooraniline;108-42-9;ug/l;NVT;OW;MAX;2000-01-01;;;;;;;<=4.6;>4.6;
CONCTTE;(massa)Concentratie;4ClAn;4-chlooraniline;106-47-8;ug/l;NVT;OW;MAX;2000-01-01;;;;;;;<=1.2;>1.2;
CONCTTE;(massa)Concentratie;4Cl3C1yFol;4-chloor-3-methylfenol;59-50-7;ug/l;NVT;OW;MAX;2000-01-01;;;;;;;<=64;>64;
CONCTTE;(massa)Concentratie;2ClFol;2-chloorfenol;95-57-8;ug/l;NVT;OW;MAX;2000-01-01;;;;;;;<=110;>110;
CONCTTE;(massa)Concentratie;3ClFol;3-chloorfenol;108-43-0;ug/l;NVT;OW;MAX;2000-01-01;;;;;;;<=400;>400;
CONCTTE;(massa)Concentratie;4ClFol;4-chloorfenol;106-48-9;ug/l;NVT;OW;MAX;2000-01-01;;;;;;;<=89;>89;
CONCTTE;(massa)Concentratie;3ClC3e;3-chloorpropeen;107-05-1;ug/l;NVT;OW;MAX;2000-01-01;;;;;;;<=3.4;>3.4;
CONCTTE;(massa)Concentratie;cumfs;cumafos;56-72-4;ug/l;NVT;OW;MAX;2000-01-01;;;;;;;<=0.0074;>0.0074;
CONCTTE;(massa)Concentratie;12DBrC2a;1,2-dibroomethaan;106-93-4;ug/l;NVT;OW;MAX;2000-01-01;;;;;;;<=0.4;>0.4;
CONCTTE;(massa)Concentratie;33DClbzdne;3,3'-dichloorbenzidine;91-94-1;ug/l;NVT;OW;MAX;2000-01-01;;;;;;;<=0.058;>0.058;
CONCTTE;(massa)Concentratie;11DClC2e;1,1-dichlooretheen;75-35-4;ug/l;NVT;OW;MAX;2000-01-01;;;;;;;<=90;>90;
CONCTTE;(massa)Concentratie;24DClFol;2,4-dichloorfenol;120-83-2;ug/l;NVT;OW;MAX;2000-01-01;;;;;;;<=70;>70;
CONCTTE;(massa)Concentratie;12DClC3a;1,2-dichloorpropaan;78-87-5;ug/l;NVT;OW;MAX;2000-01-01;;;;;;;<=1300;>1300;
CONCTTE;(massa)Concentratie;13DClC3e;1,3-dichloorpropeen;542-75-6;ug/l;NVT;OW;MAX;2000-01-01;;;;;;;<=51;>51;
CONCTTE;(massa)Concentratie;DClppP;dichloorprop-P;15165-67-0;ug/l;NVT;OW;MAX;2000-01-01;;;;;;;<=7.6;>7.6;
CONCTTE;(massa)Concentratie;DClvs;dichloorvos;62-73-7;ug/l;NVT;OW;MAX;2000-01-01;;;;;;;<=0.0007;>0.0007;
CONCTTE;(massa)Concentratie;Dmtat;dimethoaat;60-51-5;ug/l;NVT;OW;MAX;2000-01-01;;;;;;;<=0.7;>0.7;
CONCTTE;(massa)Concentratie;epClhdne;epichloorhydrine;106-89-8;ug/l;NVT;OW;MAX;2000-01-01;;;;;;;<=6.5;>6.5;
CONCTTE;(massa)Concentratie;HxClC2a;hexachloorethaan;67-72-1;ug/l;NVT;OW;MAX;2000-01-01;;;;;;;<=1.4;>1.4;
CONCTTE;(massa)Concentratie;MCPA;2-methyl-4-chloorfenoxyazijnzuur;94-74-6;ug/l;NVT;OW;MAX;2000-01-01;;;;;;;<=15;>15;
CONCTTE;(massa)Concentratie;MCPP;mecoprop;93-65-2;ug/l;NVT;OW;MAX;2000-01-01;;;;;;;<=160;>160;
CONCTTE;(massa)Concentratie;mevfs;mevinfos;7786-34-7;ug/l;NVT;OW;MAX;2000-01-01;;;;;;;<=0.017;>0.017;
CONCTTE;(massa)Concentratie;Mlnrn;monolinuron;1746-81-2;ug/l;NVT;OW;MAX;2000-01-01;;;;;;;<=0.15;>0.15;
CONCTTE;(massa)Concentratie;Clidzn;chloridazon;1698-60-8;ug/l;NVT;OW;MAX;2000-01-01;;;;;;;<=190;>190;
CONCTTE;(massa)Concentratie;1122T4ClC2a;1,1,2,2-tetrachloorethaan;79-34-5;ug/l;NVT;OW;MAX;2000-01-01;;;;;;;<=84;>84;
CONCTTE;(massa)Concentratie;Tol;tolueen;108-88-3;ug/l;NVT;OW;MAX;2000-01-01;;;;;;;<=550;>550;
CONCTTE;(massa)Concentratie;Tazfs;triazofos;24017-47-8;ug/l;NVT;OW;MAX;2000-01-01;;;;;;;<=0.02;>0.02;
CONCTTE;(massa)Concentratie;111TClC2a;1,1,1-trichloorethaan;71-55-6;ug/l;NVT;OW;MAX;2000-01-01;;;;;;;<=54;>54;
CONCTTE;(massa)Concentratie;112TClC2a;1,1,2-trichloorethaan;79-00-5;ug/l;NVT;OW;MAX;2000-01-01;;;;;;;<=300;>300;
CONCTTE;(massa)Concentratie;245TClFol;2,4,5-trichloorfenol;95-95-4;ug/l;NVT;OW;MAX;2000-01-01;;;;;;;<=2.6;>2.6;
CONCTTE;(massa)Concentratie;246TClFol;2,4,6-trichloorfenol;88-06-2;ug/l;NVT;OW;MAX;2000-01-01;;;;;;;<=32;>32;
CONCTTE;(massa)Concentratie;sxyln;som xyleen-isomeren;NVT;ug/l;NVT;OW;MAX;2000-01-01;;;;;;;<=24.4;>24.4;
CONCTTE;(massa)Concentratie;bentzn;bentazon;25057-89-0;ug/l;NVT;OW;MAX;2000-01-01;;;;;;;<=450;>450;
CONCTTE;(massa)Concentratie;NH4;ammonium;14798-03-9;mg/l;N;OW;MAX;2000-01-01;;;;;;;<=1;>1;NH4-pH-T
CONCTTE;(massa)Concentratie;NH4;ammonium;14798-03-9;mg/l;Nnf;OW;MAX;2000-01-01;;;;;;;<=1;>1;NH4-pH-T
CONCTTE;(massa)Concentratie;Ba;barium;7440-39-3;ug/l;nf;OW;MAX;2000-01-01;;;;;;;<=148;>148;
CONCTTE;(massa)Concentratie;Be;beryllium;7440-41-7;ug/l;nf;OW;MAX;2000-01-01;;;;;;;<=0.813;>0.813;
CONCTTE;(massa)Concentratie;captn;captan;133-06-2;ug/l;NVT;OW;MAX;2000-01-01;;;;;;;<=0.34;>0.34;
CONCTTE;(massa)Concentratie;carbdzm;carbendazim;10605-21-7;ug/l;NVT;OW;MAX;2000-01-01;;;;;;;<=0.6;>0.6;
CONCTTE;(massa)Concentratie;Cltlrn;chloortoluron;15545-48-9;ug/l;NVT;OW;MAX;2000-01-01;;;;;;;<=2.3;>2.3;
CONCTTE;(massa)Concentratie;dmtn;deltamethrin;52918-63-5;ug/l;NVT;OW;MAX;2000-01-01;;;;;;;<=0.00031;>0.00031;
CONCTTE;(massa)Concentratie;DmtnmdP;dimethenamid-P;163515-14-8;ug/l;NVT;OW;MAX;2000-01-01;;;;;;;<=1.6;>1.6;
CONCTTE;(massa)Concentratie;Dtann;dithianon;3347-22-6;ug/l;NVT;OW;MAX;2000-01-01;;;;;;;<=0.36;>0.36;
CONCTTE;(massa)Concentratie;dodne;dodine;2439-10-3;ug/l;NVT;OW;MAX;2000-01-01;;;;;;;<=2;>2;
CONCTTE;(massa)Concentratie;esfvlrt;esfenvaleraat;66230-04-4;ug/l;NVT;OW;MAX;2000-01-01;;;;;;;<=0.00085;>0.00085;
CONCTTE;(massa)Concentratie;fenamfs;fenamifos;22224-92-6;ug/l;NVT;OW;MAX;2000-01-01;;;;;;;<=0.027;>0.027;
CONCTTE;(massa)Concentratie;fenOxcb;fenoxycarb;72490-01-8;ug/l;NVT;OW;MAX;2000-01-01;;;;;;;<=0.026;>0.026;
CONCTTE;(massa)Concentratie;heptnfs;heptenofos;23560-59-0;ug/l;NVT;OW;MAX;2000-01-01;;;;;;;<=0.02;>0.02;
CONCTTE;(massa)Concentratie;imdcpd;imidacloprid;138261-41-3;ug/l;NVT;OW;MAX;2000-01-01;;;;;;;<=0.2;>0.2;
CONCTTE;(massa)Concentratie;lcyhltn;lambda-cyhalothrin;91465-08-6;ug/l;NVT;OW;MAX;2000-01-01;;;;;;;<=0.00047;>0.00047;
CONCTTE;(massa)Concentratie;C1ymsfrn;methyl-metsulfuron;74223-64-6;ug/l;NVT;OW;MAX;2000-01-01;;;;;;;<=0.03;>0.03;
CONCTTE;(massa)Concentratie;C1yprmfs;methylpirimifos;29232-93-7;ug/l;NVT;OW;MAX;2000-01-01;;;;;;;<=0.0016;>0.0016;
CONCTTE;(massa)Concentratie;Co;kobalt;7440-48-4;ug/l;nf;OW;MAX;2000-01-01;;;;;;;<=1.36;>1.36;
CONCTTE;(massa)Concentratie;Mo;molybdeen;7439-98-7;ug/l;nf;OW;MAX;2000-01-01;;;;;;;<=340;>340;
CONCTTE;(massa)Concentratie;pyrdbn;pyridaben;96489-71-3;ug/l;NVT;OW;MAX;2000-01-01;;;;;;;<=0.0062;>0.0062;
CONCTTE;(massa)Concentratie;pyrpxfn;pyriproxyfen;95737-68-1;ug/l;NVT;OW;MAX;2000-01-01;;;;;;;<=0.026;>0.026;
CONCTTE;(massa)Concentratie;Se;seleen;7782-49-2;ug/l;nf;OW;MAX;2000-01-01;;;;;;;<=24.6;>24.6;
CONCTTE;(massa)Concentratie;Tl;thallium;7440-28-0;ug/l;nf;OW;MAX;2000-01-01;;;;;;;<=0.76;>0.76;
CONCTTE;(massa)Concentratie;Sn;tin;7440-31-5;ug/l;nf;OW;MAX;2000-01-01;;;;;;;<=36;>36;
CONCTTE;(massa)Concentratie;tolcfsC1y;tolclofos-methyl;57018-04-9;ug/l;NVT;OW;MAX;2000-01-01;;;;;;;<=7.1;>7.1;
CONCTTE;(massa)Concentratie;tefbzrn;teflubenzuron;83121-18-0;ug/l;NVT;OW;MAX;2000-01-01;;;;;;;<=0.0017;>0.0017;
CONCTTE;(massa)Concentratie;Zn;zink;7440-66-6;ug/l;nf;OW;MAX;2000-01-01;;;;;;;<=15.6;>15.6;
CONCTTE;(massa)Concentratie;abmtne;abamectine;71751-41-2;ug/l;NVT;OW;MAX;2000-01-01;;;;;;;<=0.018;>0.018;
MASSFTE;Massafractie;PCB101;2,2',4,5,5'-pentachloorbifenyl;37680-73-2;ug/kg;dg;ZS;P90;2000-01-01;;0;0;1;;;<=8;>8;
MASSFTE;Massafractie;PCB118;2,3',4,4',5-pentachloorbifenyl;31508-00-6;ug/kg;dg;ZS;P90;2000-01-01;;0;0;1;;;<=8;>8;
MASSFTE;Massafractie;PCB138;2,2',3,4,4',5'-hexachloorbifenyl;35065-28-2;ug/kg;dg;ZS;P90;2000-01-01;;0;0;1;;;<=8;>8;
MASSFTE;Massafractie;PCB153;2,2',4,4',5,5'-hexachloorbifenyl;35065-27-1;ug/kg;dg;ZS;P90;2000-01-01;;0;0;1;;;<=8;>8;
MASSFTE;Massafractie;PCB180;2,2',3,4,4',5,5'-heptachloorbifenyl;35065-29-3;ug/kg;dg;ZS;P90;2000-01-01;;0;0;1;;;<=8;>8;
MASSFTE;Massafractie;PCB28;2,4,4'-trichloorbifenyl;7012-37-5;ug/kg;dg;ZS;P90;2000-01-01;;0;0;1;;;<=8;>8;
MASSFTE;Massafractie;PCB52;2,2',5,5'-tetrachloorbifenyl;35693-99-3;ug/kg;dg;ZS;P90;2000-01-01;;0;0;1;;;<=8;>8;
