"ID_classificatie","bron","Grootheid.code","Grootheid.omschrijving","Parameter.code","Parameter.omschrijving","CAS.nummer","Eenheid.code","Hoedanigheid.code","Compartiment.code","Waardebewerkingmethode.code","Begindatum","Einddatum","Factor.A","Factor.B","Factor.C","Humuspercentage.laag","Humuspercentage.hoog","Bijzondere.Omstandigheid"
100500073,"KRW overig - zoet (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","C2yazfs","ethylazinfos","2642-71-9","ug/l","NVT","OW","MAX","2000-01-01",NA,NA,NA,NA,NA,NA,""
100500074,"KRW overig - zoet (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","C1yazfs","methylazinfos","86-50-0","ug/l","NVT","OW","MAX","2000-01-01",NA,NA,NA,NA,NA,NA,""
100500075,"KRW overig - zoet (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","ClHAc","chloorazijnzuur","79-11-8","ug/l","NVT","OW","MAX","2000-01-01",NA,NA,NA,NA,NA,NA,""
100500076,"KRW overig - zoet (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","2ClAn","2-chlooraniline","95-51-2","ug/l","NVT","OW","MAX","2000-01-01",NA,NA,NA,NA,NA,NA,""
100500077,"KRW overig - zoet (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","3ClAn","3-chlooraniline","108-42-9","ug/l","NVT","OW","MAX","2000-01-01",NA,NA,NA,NA,NA,NA,""
100500078,"KRW overig - zoet (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","4ClAn","4-chlooraniline","106-47-8","ug/l","NVT","OW","MAX","2000-01-01",NA,NA,NA,NA,NA,NA,""
100500079,"KRW overig - zoet (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","4Cl3C1yFol","4-chloor-3-methylfenol","59-50-7","ug/l","NVT","OW","MAX","2000-01-01",NA,NA,NA,NA,NA,NA,""
100500080,"KRW overig - zoet (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","2ClFol","2-chloorfenol","95-57-8","ug/l","NVT","OW","MAX","2000-01-01",NA,NA,NA,NA,NA,NA,""
100500081,"KRW overig - zoet (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","3ClFol","3-chloorfenol","108-43-0","ug/l","NVT","OW","MAX","2000-01-01",NA,NA,NA,NA,NA,NA,""
100500082,"KRW overig - zoet (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","4ClFol","4-chloorfenol","106-48-9","ug/l","NVT","OW","MAX","2000-01-01",NA,NA,NA,NA,NA,NA,""
100500083,"KRW overig - zoet (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","3ClC3e","3-chloorpropeen","107-05-1","ug/l","NVT","OW","MAX","2000-01-01",NA,NA,NA,NA,NA,NA,""
100500084,"KRW overig - zoet (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","cumfs","cumafos","56-72-4","ug/l","NVT","OW","MAX","2000-01-01",NA,NA,NA,NA,NA,NA,""
100500085,"KRW overig - zoet (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","12DBrC2a","1,2-dibroomethaan","106-93-4","ug/l","NVT","OW","MAX","2000-01-01",NA,NA,NA,NA,NA,NA,""
100500086,"KRW overig - zoet (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","33DClbzdne","3,3'-dichloorbenzidine","91-94-1","ug/l","NVT","OW","MAX","2000-01-01",NA,NA,NA,NA,NA,NA,""
100500087,"KRW overig - zoet (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","11DClC2e","1,1-dichlooretheen","75-35-4","ug/l","NVT","OW","MAX","2000-01-01",NA,NA,NA,NA,NA,NA,""
100500088,"KRW overig - zoet (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","24DClFol","2,4-dichloorfenol","120-83-2","ug/l","NVT","OW","MAX","2000-01-01",NA,NA,NA,NA,NA,NA,""
100500089,"KRW overig - zoet (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","12DClC3a","1,2-dichloorpropaan","78-87-5","ug/l","NVT","OW","MAX","2000-01-01",NA,NA,NA,NA,NA,NA,""
100500090,"KRW overig - zoet (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","13DClC3e","1,3-dichloorpropeen","542-75-6","ug/l","NVT","OW","MAX","2000-01-01",NA,NA,NA,NA,NA,NA,""
100500091,"KRW overig - zoet (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","DClppP","dichloorprop-P","15165-67-0","ug/l","NVT","OW","MAX","2000-01-01",NA,NA,NA,NA,NA,NA,""
100500092,"KRW overig - zoet (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","DClvs","dichloorvos","62-73-7","ug/l","NVT","OW","MAX","2000-01-01",NA,NA,NA,NA,NA,NA,""
100500093,"KRW overig - zoet (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","Dmtat","dimethoaat","60-51-5","ug/l","NVT","OW","MAX","2000-01-01",NA,NA,NA,NA,NA,NA,""
100500094,"KRW overig - zoet (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","epClhdne","epichloorhydrine","106-89-8","ug/l","NVT","OW","MAX","2000-01-01",NA,NA,NA,NA,NA,NA,""
100500095,"KRW overig - zoet (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","HxClC2a","hexachloorethaan","67-72-1","ug/l","NVT","OW","MAX","2000-01-01",NA,NA,NA,NA,NA,NA,""
100500096,"KRW overig - zoet (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","MCPA","2-methyl-4-chloorfenoxyazijnzuur","94-74-6","ug/l","NVT","OW","MAX","2000-01-01",NA,NA,NA,NA,NA,NA,""
100500097,"KRW overig - zoet (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","MCPP","mecoprop","93-65-2","ug/l","NVT","OW","MAX","2000-01-01",NA,NA,NA,NA,NA,NA,""
100500098,"KRW overig - zoet (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","mevfs","mevinfos","7786-34-7","ug/l","NVT","OW","MAX","2000-01-01",NA,NA,NA,NA,NA,NA,""
100500099,"KRW overig - zoet (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","Mlnrn","monolinuron","1746-81-2","ug/l","NVT","OW","MAX","2000-01-01",NA,NA,NA,NA,NA,NA,""
100500100,"KRW overig - zoet (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","Clidzn","chloridazon","1698-60-8","ug/l","NVT","OW","MAX","2000-01-01",NA,NA,NA,NA,NA,NA,""
100500101,"KRW overig - zoet (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","1122T4ClC2a","1,1,2,2-tetrachloorethaan","79-34-5","ug/l","NVT","OW","MAX","2000-01-01",NA,NA,NA,NA,NA,NA,""
100500102,"KRW overig - zoet (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","Tol","tolueen","108-88-3","ug/l","NVT","OW","MAX","2000-01-01",NA,NA,NA,NA,NA,NA,""
100500103,"KRW overig - zoet (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","Tazfs","triazofos","24017-47-8","ug/l","NVT","OW","MAX","2000-01-01",NA,NA,NA,NA,NA,NA,""
100500104,"KRW overig - zoet (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","111TClC2a","1,1,1-trichloorethaan","71-55-6","ug/l","NVT","OW","MAX","2000-01-01",NA,NA,NA,NA,NA,NA,""
100500105,"KRW overig - zoet (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","112TClC2a","1,1,2-trichloorethaan","79-00-5","ug/l","NVT","OW","MAX","2000-01-01",NA,NA,NA,NA,NA,NA,""
100500106,"KRW overig - zoet (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","245TClFol","2,4,5-trichloorfenol","95-95-4","ug/l","NVT","OW","MAX","2000-01-01",NA,NA,NA,NA,NA,NA,""
100500107,"KRW overig - zoet (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","246TClFol","2,4,6-trichloorfenol","88-06-2","ug/l","NVT","OW","MAX","2000-01-01",NA,NA,NA,NA,NA,NA,""
100500108,"KRW overig - zoet (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","sxyln","som xyleen-isomeren","NVT","ug/l","NVT","OW","MAX","2000-01-01",NA,NA,NA,NA,NA,NA,""
100500109,"KRW overig - zoet (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","bentzn","bentazon","25057-89-0","ug/l","NVT","OW","MAX","2000-01-01",NA,NA,NA,NA,NA,NA,""
100500110,"KRW overig - zoet (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","NH4","ammonium","14798-03-9","mg/l","N","OW","MAX","2000-01-01",NA,NA,NA,NA,NA,NA,"NH4-pH-T"
100500111,"KRW overig - zoet (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","NH4","ammonium","14798-03-9","mg/l","Nnf","OW","MAX","2000-01-01",NA,NA,NA,NA,NA,NA,"NH4-pH-T"
100500112,"KRW overig - zoet (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","Ba","barium","7440-39-3","ug/l","nf","OW","MAX","2000-01-01",NA,NA,NA,NA,NA,NA,""
100500113,"KRW overig - zoet (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","Be","beryllium","7440-41-7","ug/l","nf","OW","MAX","2000-01-01",NA,NA,NA,NA,NA,NA,""
100500114,"KRW overig - zoet (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","captn","captan","133-06-2","ug/l","NVT","OW","MAX","2000-01-01",NA,NA,NA,NA,NA,NA,""
100500115,"KRW overig - zoet (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","carbdzm","carbendazim","10605-21-7","ug/l","NVT","OW","MAX","2000-01-01",NA,NA,NA,NA,NA,NA,""
100500116,"KRW overig - zoet (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","Cltlrn","chloortoluron","15545-48-9","ug/l","NVT","OW","MAX","2000-01-01",NA,NA,NA,NA,NA,NA,""
100500117,"KRW overig - zoet (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","dmtn","deltamethrin","52918-63-5","ug/l","NVT","OW","MAX","2000-01-01",NA,NA,NA,NA,NA,NA,""
100500118,"KRW overig - zoet (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","DmtnmdP","dimethenamid-P","163515-14-8","ug/l","NVT","OW","MAX","2000-01-01",NA,NA,NA,NA,NA,NA,""
100500119,"KRW overig - zoet (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","Dtann","dithianon","3347-22-6","ug/l","NVT","OW","MAX","2000-01-01",NA,NA,NA,NA,NA,NA,""
100500120,"KRW overig - zoet (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","dodne","dodine","2439-10-3","ug/l","NVT","OW","MAX","2000-01-01",NA,NA,NA,NA,NA,NA,""
100500121,"KRW overig - zoet (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","esfvlrt","esfenvaleraat","66230-04-4","ug/l","NVT","OW","MAX","2000-01-01",NA,NA,NA,NA,NA,NA,""
100500122,"KRW overig - zoet (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","fenamfs","fenamifos","22224-92-6","ug/l","NVT","OW","MAX","2000-01-01",NA,NA,NA,NA,NA,NA,""
100500123,"KRW overig - zoet (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","fenOxcb","fenoxycarb","72490-01-8","ug/l","NVT","OW","MAX","2000-01-01",NA,NA,NA,NA,NA,NA,""
100500124,"KRW overig - zoet (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","heptnfs","heptenofos","23560-59-0","ug/l","NVT","OW","MAX","2000-01-01",NA,NA,NA,NA,NA,NA,""
100500125,"KRW overig - zoet (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","imdcpd","imidacloprid","138261-41-3","ug/l","NVT","OW","MAX","2000-01-01",NA,NA,NA,NA,NA,NA,""
100500126,"KRW overig - zoet (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","lcyhltn","lambda-cyhalothrin","91465-08-6","ug/l","NVT","OW","MAX","2000-01-01",NA,NA,NA,NA,NA,NA,""
100500127,"KRW overig - zoet (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","C1ymsfrn","methyl-metsulfuron","74223-64-6","ug/l","NVT","OW","MAX","2000-01-01",NA,NA,NA,NA,NA,NA,""
100500128,"KRW overig - zoet (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","C1yprmfs","methylpirimifos","29232-93-7","ug/l","NVT","OW","MAX","2000-01-01",NA,NA,NA,NA,NA,NA,""
100500129,"KRW overig - zoet (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","Co","kobalt","7440-48-4","ug/l","nf","OW","MAX","2000-01-01",NA,NA,NA,NA,NA,NA,""
100500130,"KRW overig - zoet (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","Mo","molybdeen","7439-98-7","ug/l","nf","OW","MAX","2000-01-01",NA,NA,NA,NA,NA,NA,""
100500131,"KRW overig - zoet (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","pyrdbn","pyridaben","96489-71-3","ug/l","NVT","OW","MAX","2000-01-01",NA,NA,NA,NA,NA,NA,""
100500132,"KRW overig - zoet (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","pyrpxfn","pyriproxyfen","95737-68-1","ug/l","NVT","OW","MAX","2000-01-01",NA,NA,NA,NA,NA,NA,""
100500133,"KRW overig - zoet (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","Se","seleen","7782-49-2","ug/l","nf","OW","MAX","2000-01-01",NA,NA,NA,NA,NA,NA,""
100500134,"KRW overig - zoet (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","Tl","thallium","7440-28-0","ug/l","nf","OW","MAX","2000-01-01",NA,NA,NA,NA,NA,NA,""
100500135,"KRW overig - zoet (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","Sn","tin","7440-31-5","ug/l","nf","OW","MAX","2000-01-01",NA,NA,NA,NA,NA,NA,""
100500136,"KRW overig - zoet (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","tolcfsC1y","tolclofos-methyl","57018-04-9","ug/l","NVT","OW","MAX","2000-01-01",NA,NA,NA,NA,NA,NA,""
100500137,"KRW overig - zoet (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","tefbzrn","teflubenzuron","83121-18-0","ug/l","NVT","OW","MAX","2000-01-01",NA,NA,NA,NA,NA,NA,""
100500138,"KRW overig - zoet (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","Zn","zink","7440-66-6","ug/l","nf","OW","MAX","2000-01-01",NA,NA,NA,NA,NA,NA,""
100500139,"KRW overig - zoet (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","abmtne","abamectine","71751-41-2","ug/l","NVT","OW","MAX","2000-01-01",NA,NA,NA,NA,NA,NA,""
100500140,"KRW overig - zoet (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","MASSFTE","Massafractie","PCB101","2,2',4,5,5'-pentachloorbifenyl","37680-73-2","ug/kg","dg","ZS","P90","2000-01-01",NA,0,0,1,NA,NA,""
100500141,"KRW overig - zoet (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","MASSFTE","Massafractie","PCB118","2,3',4,4',5-pentachloorbifenyl","31508-00-6","ug/kg","dg","ZS","P90","2000-01-01",NA,0,0,1,NA,NA,""
100500142,"KRW overig - zoet (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","MASSFTE","Massafractie","PCB138","2,2',3,4,4',5'-hexachloorbifenyl","35065-28-2","ug/kg","dg","ZS","P90","2000-01-01",NA,0,0,1,NA,NA,""
100500143,"KRW overig - zoet (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","MASSFTE","Massafractie","PCB153","2,2',4,4',5,5'-hexachloorbifenyl","35065-27-1","ug/kg","dg","ZS","P90","2000-01-01",NA,0,0,1,NA,NA,""
100500144,"KRW overig - zoet (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","MASSFTE","Massafractie","PCB180","2,2',3,4,4',5,5'-heptachloorbifenyl","35065-29-3","ug/kg","dg","ZS","P90","2000-01-01",NA,0,0,1,NA,NA,""
100500145,"KRW overig - zoet (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","MASSFTE","Massafractie","PCB28","2,4,4'-trichloorbifenyl","7012-37-5","ug/kg","dg","ZS","P90","2000-01-01",NA,0,0,1,NA,NA,""
100500146,"KRW overig - zoet (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","MASSFTE","Massafractie","PCB52","2,2',5,5'-tetrachloorbifenyl","35693-99-3","ug/kg","dg","ZS","P90","2000-01-01",NA,0,0,1,NA,NA,""
